Code_Commune;Poste_source
2315;518.0
2316;667.0
2317;518.0
2318;660.0
2319;666.0
2320;2186.0
2321;570.0
2322;666.0
2323;1473.0
2324;570.0
2325;1602.0
2326;659.0
2327;518.0
2328;526.0
2329;1911.0
2330;666.0
2331;1469.0
2332;2185.0
2333;1807.0
2334;1473.0
2335;1911.0
2336;1911.0
2337;570.0
2338;1469.0
2339;593.0
2340;2186.0
2341;1469.0
2342;570.0
2343;518.0
2344;1203.0
2345;1911.0
2346;235.0
2347;526.0
2348;1202.0
2349;1203.0
2350;1469.0
2351;1999.0
2352;528.0
2353;235.0
2354;2029.0
2355;666.0
2356;526.0
2357;1469.0
2358;640.0
2359;2186.0
2360;1203.0
2361;640.0
2362;518.0
2363;660.0
2364;1203.0
2366;525.0
2367;518.0
2368;667.0
2369;1449.0
2370;528.0
2371;2186.0
2372;539.0
2373;1469.0
2374;666.0
2375;691.0
2376;640.0
2377;570.0
2378;2187.0
2379;640.0
2380;2186.0
2381;2187.0
2382;666.0
2383;666.0
2384;1469.0
2385;1469.0
2386;525.0
2387;2186.0
2388;1449.0
2389;800.0
2390;528.0
2391;2187.0
2392;666.0
2393;2185.0
2395;1807.0
2396;1202.0
2397;1911.0
2398;265.0
2399;1203.0
2400;1807.0
2401;570.0
2402;518.0
2403;640.0
2404;2187.0
2405;2187.0
2406;1807.0
2407;619.0
2408;619.0
2409;1449.0
2410;667.0
2411;691.0
2412;2185.0
2413;619.0
2414;525.0
2415;659.0
2416;1469.0
2417;528.0
2418;570.0
2419;525.0
2420;666.0
2421;2185.0
2422;640.0
2423;1807.0
2424;265.0
2425;2187.0
2426;666.0
2427;2185.0
2428;691.0
2429;619.0
2430;235.0
2431;1911.0
2432;1202.0
2433;1449.0
2434;1807.0
2435;2029.0
2438;691.0
2439;1202.0
2440;1203.0
2441;691.0
2442;2185.0
2443;690.0
2444;1469.0
2445;570.0
2446;1911.0
2447;2185.0
2448;1469.0
2449;691.0
2450;640.0
2451;666.0
2452;666.0
2453;1202.0
2454;1203.0
2455;525.0
2456;660.0
2457;235.0
2458;1602.0
2459;666.0
2460;1469.0
2461;660.0
2462;2185.0
2463;1469.0
2464;265.0
2465;690.0
2466;691.0
2467;691.0
2468;1469.0
2469;570.0
2470;2187.0
2471;235.0
2472;235.0
2473;1911.0
2474;1911.0
2475;1203.0
2476;1473.0
2477;539.0
2478;1807.0
2479;1202.0
2480;527.0
2481;2186.0
2482;1202.0
2483;527.0
2484;800.0
2485;539.0
2486;235.0
2487;265.0
2488;1473.0
2489;619.0
2490;1807.0
2491;1469.0
2492;1911.0
2493;235.0
2494;640.0
2495;2187.0
2496;691.0
2497;619.0
2498;235.0
2499;1807.0
2500;1473.0
2501;235.0
2502;1449.0
2503;640.0
2504;1911.0
2505;526.0
2506;667.0
2507;691.0
2508;235.0
2509;691.0
2510;800.0
2511;640.0
2512;593.0
2513;1449.0
2514;659.0
2515;800.0
2516;1469.0
2517;527.0
2518;526.0
2519;1449.0
2520;1202.0
2521;690.0
2522;2029.0
2523;1202.0
2524;526.0
2525;666.0
2526;1449.0
2527;659.0
2528;659.0
2529;1469.0
2530;1202.0
2531;1202.0
2532;527.0
2533;2185.0
2534;1202.0
2535;1449.0
2536;539.0
2537;1807.0
2538;2185.0
2539;666.0
2540;526.0
2541;1203.0
2542;660.0
2543;691.0
2544;2187.0
2545;1469.0
2546;518.0
2547;1469.0
2548;525.0
2549;2186.0
2550;235.0
2551;1807.0
2552;640.0
2553;1449.0
2554;526.0
2555;690.0
2556;1449.0
2557;691.0
2558;525.0
2559;527.0
2560;527.0
2561;619.0
2562;659.0
2563;640.0
2564;539.0
2565;1202.0
2566;660.0
2567;2187.0
2568;667.0
2569;525.0
2570;518.0
2571;666.0
2572;1203.0
2573;235.0
2574;2187.0
2575;527.0
2576;539.0
2577;1807.0
2578;1202.0
2579;691.0
2580;2185.0
2581;1202.0
2582;1202.0
2583;1807.0
2584;570.0
2585;539.0
2586;1449.0
2587;235.0
2588;1202.0
2589;1807.0
2590;1602.0
2591;1469.0
2592;527.0
2593;265.0
2594;691.0
2595;800.0
2596;690.0
2597;1202.0
2598;539.0
2599;660.0
2600;235.0
